size_c,parent,n_atoms,side,parent_r,child_mean,child_best,delta_mean,delta_best
30.0,CC(C)NCCN1CCN(CC1)C,13,below,0.07737717561190159,0.09226912260055542,0.10494969040155411,0.014891944825649261,0.02757251262664795
30.0,Nc1ccc(NC(=O)CCC)cc1,13,below,0.09609560262826317,0.11466372013092041,0.1269589066505432,0.018568120896816254,0.030863307416439056
30.0,Cc1ccc(NCCN(C)C)cc1O,14,below,0.11971594120027204,0.13920168578624725,0.14984555542469025,0.01948574185371399,0.030129611492156982
30.0,CCN(CC)CCNc1ccccc1,14,below,0.09157547348714742,0.1135411337018013,0.12815384566783905,0.02196566015481949,0.03657837212085724
30.0,CCNc1nc(N)nc2c1ncn2CC,15,below,0.0849969468242815,0.09913972020149231,0.10471722483634949,0.014142774045467377,0.019720278680324554
30.0,CN1CCN(CC1)c2ccccc2NCCO,17,below,0.18798562611951564,0.22079218924045563,0.24093253910541534,0.03280656039714813,0.05294691026210785
30.0,Cc1ccc(N2CCN(CCO)CC2)cc1Cl,17,below,0.20257958855394412,0.24607211351394653,0.2634332776069641,0.043492525815963745,0.06085368990898132
30.0,Nc1ccc(C(=O)N2CCN(CC)CC2)cc1,17,below,0.1967134497504541,0.23402917385101318,0.2595808506011963,0.0373157262802124,0.06286740303039551
30.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,17,below,0.1218387381105104,0.14984135329723358,0.17197757959365845,0.02800261229276657,0.05013883858919144
30.0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,20,below,0.1306282947563108,0.16715198755264282,0.18551024794578552,0.03652369976043701,0.05488196015357971
30.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,21,below,0.2817632738736936,0.29397401213645935,0.3309483826160431,0.012210726737976074,0.049185097217559814
30.0,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,21,below,0.2927675124195334,0.30853554606437683,0.32839298248291016,0.01576802134513855,0.035625457763671875
30.0,CC(C)Cc1ccc(C(C)C(=O)NC2CCCCC2)cc1,21,below,0.2446785097997087,0.28652486205101013,0.3018469214439392,0.04184634983539581,0.05716840922832489
30.0,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,24,below,0.3531842490721505,0.35925614833831787,0.3890513479709625,0.006071895360946655,0.03586709499359131
30.0,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,24,below,0.38951009141646203,0.4057091772556305,0.4241929054260254,0.016199082136154175,0.03468281030654907
30.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,26,below,0.5313734923645388,0.5584715604782104,0.5838453769683838,0.02709805965423584,0.05247187614440918
