smiles,score
CSC(CNO)(SC)N(SONO)C(C)(SCl)N(OCl)OSCF,0.09177234704208315
CN(S)SN(SSCCl)C(F)(C(N)N(F)Cl)S(O)(Cl)N(F)SNS,0.09166497222188141
CCNN(SC(OF)(OF)SSN(CCF)NC(C)(N)Cl)C(O)Cl,0.09007049735415962
CNC(CCl)C(N)(N(C)SF)C(Cl)(OS)C(OC(Cl)CCl)C(F)F,0.08963345342567651
CSN(N(Cl)C(N)O)N(SC(C)(N(C)SCl)C(C)(F)SF)N(F)S,0.08954897305005204
CCN(S)OCN(C(Cl)CCl)C(Cl)(Cl)N(Cl)SC(Cl)(Cl)CN(N)F,0.0895315741354926
CCSC(C)(CO)CC(C)(SN(CC)C(O)F)N(C)C(F)NN,0.0893366939429777
NCSC(F)(C(N)C(Cl)(ON(O)Cl)SCCl)C(F)(NN)OC(Cl)OCl,0.08912171303272062
CCC(C)(ONC)S(F)(OC(Cl)(OF)OCl)C(OCl)C(C)(F)CS,0.08907297814497084
CSC(NCl)(SSN(N)C(C)(F)Cl)C(Cl)(CCl)N(SNF)C(N)F,0.08877948649789501
CC(CSCl)(SC(N)(OC(N)(F)SN)C(Cl)Cl)[SH](Cl)C(F)(Cl)NF,0.08875277749156062
CN(C)SN(SC(CN(O)F)(SF)C(S)(SO)N(S)CS)C(F)S,0.08860262014126521
CC(O)(F)C(F)(SCl)N(C(N)(F)S)C(O)(SN(S)CF)C(F)CN,0.08850530664340102
CN(F)C(OCl)(C(NN(SN(F)CF)C(C)(C)Cl)ON)C(S)(S)Cl,0.08807141803714234
CCC(C)C(F)C(F)(CN)C(F)(SCl)C(OCl)C(C)(N)OCl,0.08787000093484919
CNOCC(N)(F)C(F)(SSOC(N)O)C(OO)(SCSCl)N(Cl)Cl,0.08755363151157516
CC(NF)N(SO)N(SSSSO)C(C)(COF)C(F)(Cl)C(N)S,0.0873540948370591
CC(SCl)(N(OSO)C(Cl)(Cl)C(Cl)(Cl)NF)C(F)(F)SC(S)(Cl)Cl,0.0870515119792201
CSSN(NS)N(N)C(C)(NF)C(F)(Cl)OSC(OCCl)C(C)C,0.08696288832186404
NSN(OC(F)(Cl)S(S)(SN(N)O)N(SF)C(F)OCl)N(Cl)SS,0.08667687871241089
CNNN(S)C(F)(SOSF)N(OCl)C(C)(Cl)SSSN(F)ON,0.08601237367337078
CS(OF)(SN(N)Cl)SC(Cl)(CF)C(NF)(SN(F)Cl)N(N)SN,0.08584420767220631
CNSC(O)N(OCl)C(N(C)F)(N(Cl)S(F)(Cl)OCl)C(C)(C)N,0.08453909428763558
CC(F)C(F)C(SON)N(Cl)C(C(F)Cl)(N(O)OCl)C(N)(F)CS,0.08397176923711877
CCNSSSS(F)(C(C)OCl)C(Cl)(Cl)N(CC)SOSSO,0.08382430756611772
NCOC(SCl)(N(CCl)C(F)(F)C(S)(Cl)OO)C(F)(Cl)C(N)(F)S,0.08370155568429152
CCSSN(Cl)C(S)(N(SF)C(N)(N)CC)C(O)(COCl)SF,0.0834464402666371
CN(NCl)N(NN)C(OC(F)CF)C(C)(Cl)C(C)(Cl)ON(Cl)ON,0.0834248211094466
CC(F)(Cl)C(C)(SCl)N(Cl)[SH](F)OC(Cl)(CSCl)[SH](Cl)C(N)Cl,0.08309041151969505
FCC(CC(Cl)(N(S)C(F)C(S)Cl)C(Cl)(SS)S(F)(Cl)Cl)SS,0.08294371534777764
